pir,ldr_1,ldr_2,temp,hum,mic,led_on,timestamp
1,0,1,25.88,69.72,206,0,1670009221
1,1,1,25.76,63.48,286,0,1677036595
1,0,1,23.79,77.44,305,0,1679579942
0,0,1,28.93,24.89,177,0,1666031889
1,0,1,23.45,75.89,377,0,1671703810
1,0,1,25.33,66.17,197,0,1670101100
1,1,1,26.24,59.41,295,0,1676958968
0,1,1,26.57,59.47,1153,0,1680419228
1,0,1,25.47,70.87,181,0,1671107156
0,0,1,27.35,54.48,217,0,1664722187
0,1,1,23.85,69.57,2599,0,1682324505
1,1,1,25.28,70.52,289,1,1673833924
1,1,1,24.76,44.54,0,1,1659486032
1,0,1,23.63,41.22,27,0,1662204557
1,0,1,23.9,42.65,20,0,1661089125
0,0,1,26.03,51.66,1082,0,1667838138
1,1,1,28.06,55.55,306,0,1676445431
1,0,1,26.03,45.27,22,0,1662564507
1,0,1,27.33,54.82,3862,0,1674075619
1,0,1,25.18,30.99,0,0,1659640646
0,0,1,24.69,41.08,15,0,1661606786
0,1,1,24.96,74.01,1255,0,1670449162
0,1,1,26.09,56.35,85,0,1665300375
1,0,1,25.45,70.89,1648,0,1672587825
1,0,1,24.1,59.71,1358,1,1667677637
0,1,1,25.84,57.86,137,0,1664436155
1,1,1,26.09,62.42,1146,0,1680469646
1,1,1,24.29,71.83,208,0,1671606410
1,1,1,25.83,64.29,177,1,1664147662
1,0,0,27.08,53.79,185,0,1670782644
0,1,1,24.85,59.59,48,0,1679815006
1,1,1,27.61,62.87,298,0,1676265281
1,1,1,24.85,73.48,241,1,1672554322
1,1,1,26.92,61.58,336,0,1676127705
1,1,1,24.12,59.51,80,0,1667787061
1,1,1,26.0,63.14,272,0,1675832465
1,0,1,25.28,65.21,203,0,1669752464
0,1,1,25.75,71.89,0,0,1681887913
0,0,1,26.36,40.39,32,0,1662579089
1,0,0,25.87,67.19,282,0,1671901114
1,1,1,23.82,75.79,207,0,1671679456
1,0,1,26.75,44.08,211,0,1664309881
1,0,1,24.51,42.64,8,0,1661596449
0,1,1,26.28,54.78,166,0,1663660189
1,1,1,25.46,37.64,16,0,1661840439
1,0,1,25.46,69.07,2304,0,1673273095
1,0,1,26.12,57.85,296,0,1675804573
0,1,1,26.62,56.91,87,0,1665373865
0,1,1,27.71,51.84,204,0,1664672388
1,0,1,28.61,31.7,2432,0,1666272480
