pir,ldr_1,ldr_2,temp,hum,mic,led_on,timestamp
1,0,1,27.47,50.78,81,0,1667143461
1,1,1,26.29,60.59,332,0,1674190996
0,0,1,27.9,46.58,240,0,1666450520
1,0,1,26.22,62.38,357,0,1674219710
0,1,1,26.08,56.33,81,0,1665302197
0,0,1,24.75,74.95,193,0,1670492968
1,0,1,24.93,29.57,0,0,1662300420
1,0,1,24.99,65.52,109,0,1668761949
0,0,1,25.24,37.84,13,0,1660750640
1,0,1,24.6,42.06,15,0,1661001162
0,0,1,29.09,38.05,239,0,1666352087
1,0,1,25.55,62.18,176,0,1670846541
1,1,1,27.22,56.03,368,1,1674084752
0,1,1,26.95,53.81,98,1,1667086940
1,0,1,24.66,69.58,142,0,1669379512
1,0,1,24.77,72.78,173,0,1670584250
1,1,1,25.82,56.76,155,0,1666508860
1,0,1,26.26,63.57,380,0,1673719891
1,1,1,24.37,65.78,189,0,1669875363
0,1,1,27.13,43.09,103,0,1665113293
0,0,1,25.38,69.22,193,0,1670082842
1,1,1,25.72,69.98,564,0,1672800010
1,0,1,24.82,74.37,241,0,1672047213
1,1,1,26.7,57.68,83,0,1667030398
0,1,1,27.16,45.13,69,0,1663395050
0,1,1,23.67,39.73,11,0,1661229910
0,0,1,24.99,44.02,12,0,1660918655
1,1,1,24.81,66.16,142,0,1669066766
0,1,1,27.0,44.75,61,0,1663307643
1,0,0,25.97,48.18,3787,0,1667839962
0,1,1,27.96,34.11,175,0,1666155824
1,0,1,25.13,70.85,304,0,1668512582
1,1,0,24.72,46.27,0,0,1659492097
1,0,1,29.66,37.56,144,0,1666207479
1,1,1,26.91,57.93,688,1,1674095105
0,0,1,26.48,58.86,176,0,1670855671
1,1,1,25.87,65.62,375,0,1674511233
1,0,1,25.53,70.57,355,0,1673543111
1,1,1,25.31,69.67,1164,1,1673049668
1,1,1,24.67,69.6,353,0,1673076529
1,0,1,26.93,62.63,331,0,1674137836
1,1,1,26.95,57.39,340,1,1674093884
1,1,1,24.7,74.8,193,0,1671228330
0,0,1,27.3,49.7,202,0,1664733737
1,1,1,24.23,59.78,96,1,1667790098
1,0,1,25.76,33.07,7,0,1659899623
1,0,0,27.06,58.0,430,0,1673377929
1,1,1,24.77,38.04,6,1,1660609282
